text	ref	p_Id	body_Id
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	44	
"Lions Hall,Shawville"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	45	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	45	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	45	
"Ladysmith, Quebec "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Thorne%2C_Quebec&params=45_45_N_76_26_W_region:CA-QC_type:city(292))	45	
"Bristol, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol%2C_Quebec&params=45_32_N_76_28_W_region:CA-QC_type:city(1128)	45	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	45	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	45	
"Fort Coulonge, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Fort-Coulonge&params=45_51_N_76_44_W_region:CA-QC_type:city(1377)	45	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	45	
"Pontiac, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	45	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	45	
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	45	
"Wyman, Quebec"	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	46	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	47	
Chateris	https://tools.wmflabs.org/geohack/geohack.php?pagename=Clarendon%2C_Quebec&params=45_39_N_76_31_W_region:CA-QC_type:city(1183)	47	
